Date,Category,Subcategory,Expenses,Income
2023-07-16,Other,Not specified,0.0,600.0
2023-07-19,Groceries,Not specified,123.0,0.0
2023-07-21,Transport,Public transport,5.5,0.0
2023-07-21,Eating out,Coffee,33.0,0.0
2023-07-21,Transport,Public transport,5.5,0.0
2023-07-21,Groceries,Not specified,45.0,0.0
2023-07-22,Groceries,Not specified,8.0,0.0
2023-07-23,Leisure,Books,15.0,0.0
2023-07-24,Transport,Public transport,5.5,0.0
2023-07-24,Health,Pharmacy,120.0,0.0
2023-07-24,Hygiene,Not specified,23.9,0.0
2023-07-24,Groceries,Not specified,53.0,0.0
2023-07-24,Groceries,Not specified,56.0,0.0
2023-07-25,Subscriptions,Not specified,4.0,0.0
2023-07-25,Gifts,Not specified,109.0,0.0
2023-07-26,Groceries,Not specified,21.2,0.0
2023-07-26,Groceries,Not specified,22.0,0.0
2023-07-26,Refund,Not specified,0.0,17.0
2023-07-29,Health,Medical services,112.0,0.0
2023-07-31,Health,Pharmacy,47.5,0.0
2023-07-31,Groceries,Not specified,49.0,0.0
2023-07-31,Leisure,Hobbies,116.0,0.0
2023-08-01,Subscriptions,Not specified,32.0,0.0
2023-08-01,Subscriptions,Not specified,18.18,0.0
2023-08-02,Other,Not specified,111.0,0.0
2023-08-05,Groceries,Not specified,100.0,0.0
2023-08-07,Subscriptions,Not specified,20.0,0.0
2023-08-07,Groceries,Not specified,179.0,0.0
2023-08-07,Other,Not specified,32.0,0.0
2023-08-08,Transport,Public transport,5.5,0.0
2023-08-08,Transport,Public transport,5.5,0.0
2023-08-09,House,Rent,4000.0,0.0
2023-08-09,Eating out,Food delivery,184.0,0.0
2023-08-10,Health,Insurance,188.0,0.0
2023-08-10,Etsy,Package,9.0,0.0
2023-08-10,Refund,Not specified,0.0,700.0
2023-08-10,Leisure,Videogames,7.0,0.0
2023-08-10,Transport,Public transport,42.0,0.0
2023-08-10,Eating out,Lunch,59.0,0.0
2023-08-11,Etsy,Post,10.0,0.0
2023-08-12,Subscriptions,Not specified,55.91,0.0
2023-08-13,Transport,Public transport,5.5,0.0
2023-08-13,Transport,Public transport,5.5,0.0
2023-08-14,Transport,Public transport,5.5,0.0
2023-08-14,Eating out,Lunch,25.0,0.0
2023-08-14,Transport,Public transport,5.5,0.0
2023-08-14,Eating out,Food delivery,105.0,0.0
2023-08-16,Groceries,Not specified,43.4,0.0
2023-08-16,Groceries,Not specified,81.0,0.0
2023-08-16,Groceries,Not specified,10.0,0.0
2023-08-16,Part-time job,Not specified,0.0,20.0
2023-08-16,Etsy,Printing,308.0,0.0
2023-08-17,Transport,Public transport,5.5,0.0
2023-08-17,Eating out,Coffee,12.0,0.0
2023-08-17,Transport,Public transport,5.5,0.0
2023-08-18,Transport,Public transport,5.5,0.0
2023-08-18,Transport,Public transport,5.5,0.0
2023-08-21,Transport,Public transport,5.5,0.0
2023-08-21,Transport,Taxi,53.0,0.0
2023-08-21,Eating out,Restaurant,361.0,0.0
2023-08-22,Hygiene,Not specified,24.8,0.0
2023-08-22,Groceries,Not specified,41.8,0.0
2023-08-22,Health,Pharmacy,500.0,0.0
2023-08-24,Eating out,Food delivery,90.0,0.0
2023-08-25,Subscriptions,Not specified,4.0,0.0
2023-08-25,Eating out,Food delivery,151.0,0.0
2023-08-26,Leisure,Videogames,20.0,0.0
2023-08-26,Groceries,Not specified,16.4,0.0
2023-08-27,Transport,Public transport,42.0,0.0
2023-08-27,Groceries,Not specified,33.0,0.0
2023-08-29,Transport,Public transport,5.5,0.0
2023-08-29,Transport,Public transport,5.5,0.0
2023-08-29,Groceries,Not specified,41.0,0.0
2023-08-31,Groceries,Not specified,208.4,0.0
2023-08-31,Salary,Salary,0.0,2073.0
2023-09-01,Subscriptions,Not specified,32.0,0.0
2023-09-01,Subscriptions,Not specified,18.98,0.0
2023-09-01,Transport,Public transport,5.5,0.0
2023-09-01,Gifts,Not specified,125.0,0.0
2023-09-01,Eating out,Food delivery,146.0,0.0
2023-09-02,Etsy,Commissions,2.07,0.0
2023-09-03,Hygiene,Not specified,177.0,0.0
2023-09-03,Hygiene,Not specified,165.0,0.0
2023-09-03,Health,Medical services,112.0,0.0
2023-09-05,Salary,Salary,0.0,823.2
2023-09-05,Transport,Public transport,5.5,0.0
2023-09-05,Eating out,Coffee,26.0,0.0
2023-09-05,Transport,Public transport,5.5,0.0
2023-09-06,Charity,Not specified,51.0,0.0
2023-09-07,Subscriptions,Not specified,20.0,0.0
2023-09-07,Transport,Public transport,5.5,0.0
2023-09-07,Leisure,Books,60.0,0.0
2023-09-07,Transport,Taxi,89.4,0.0
2023-09-09,House,Rent,4000.0,0.0
2023-09-09,Eating out,Food delivery,111.0,0.0
2023-09-10,Health,Insurance,188.0,0.0
2023-09-11,Gifts,Not specified,200.0,0.0
2023-09-12,Subscriptions,Not specified,57.11,0.0
2023-09-12,Hygiene,Not specified,23.0,0.0
2023-09-12,Leisure,Hobbies,10.0,0.0
2023-09-12,Salary,Salary,0.0,3016.51
2023-09-13,Groceries,Not specified,116.0,0.0
2023-09-14,Subscriptions,Not specified,757.0,0.0
2023-09-14,Transport,Public transport,5.5,0.0
2023-09-14,Transport,Public transport,5.5,0.0
2023-09-15,Eating out,Food delivery,135.0,0.0
2023-09-16,Leisure,Museums,44.0,0.0
2023-09-17,Eating out,Food delivery,262.0,0.0
2023-09-17,Gifts,Not specified,0.0,500.0
2023-09-17,Other,Not specified,0.0,50.0
2023-09-18,Auto,Gas,130.0,0.0
2023-09-18,Gifts,Not specified,402.0,0.0
2023-09-18,Eating out,Coffee,49.0,0.0
2023-09-18,Eating out,Fast food,20.0,0.0
2023-09-19,Transport,Taxi,80.0,0.0
2023-09-19,Groceries,Not specified,34.0,0.0
2023-09-19,Groceries,Not specified,24.0,0.0
2023-09-19,Salary,Salary,0.0,1840.0
2023-09-19,Transport,Public transport,50.0,0.0
2023-09-21,Groceries,Not specified,93.0,0.0
2023-09-21,Groceries,Not specified,8.0,0.0
2023-09-21,Eating out,Food delivery,115.0,0.0
2023-09-22,Beauty,Beauty salon,170.0,0.0
2023-09-22,Hygiene,Not specified,13.0,0.0
2023-09-23,Health,Medical services,109.34,0.0
2023-09-25,Subscriptions,Not specified,4.0,0.0
2023-09-26,Transport,Public transport,5.5,0.0
2023-09-26,Other,Not specified,15.0,0.0
2023-09-26,Salary,Salary,0.0,2004.0
2023-09-26,Transport,Public transport,5.5,0.0
2023-09-26,Savings,Not specified,200.0,0.0
2023-09-26,Eating out,Food delivery,131.0,0.0
2023-09-26,Clothes,Accesories,73.0,0.0
2023-09-27,Transport,Public transport,18.0,0.0
2023-09-27,Eating out,Lunch,42.0,0.0
2023-09-28,Transport,Public transport,5.5,0.0
2023-09-28,Gifts,Not specified,250.0,0.0
2023-09-28,Transport,Taxi,73.0,0.0
2023-09-28,Transport,Taxi,12.0,0.0
2023-09-28,Transport,Taxi,70.0,0.0
2023-09-28,Part-time job,Not specified,0.0,25.0
2023-09-29,Eating out,Food delivery,138.0,0.0
2023-09-30,Eating out,Food delivery,165.0,0.0
2023-10-01,Subscriptions,Not specified,32.0,0.0
2023-10-01,Subscriptions,Not specified,19.05,0.0
2023-10-01,Transport,Public transport,42.0,0.0
2023-10-01,Groceries,Not specified,6.0,0.0
2023-10-01,Groceries,Not specified,17.0,0.0
2023-10-02,Leisure,"Cinema, theater, concerts",376.0,0.0
2023-10-03,Leisure,Books,10.0,0.0
2023-10-04,Salary,Salary,0.0,2082.0
2023-10-04,Savings,Not specified,200.0,0.0
2023-10-05,Eating out,Food delivery,192.0,0.0
2023-10-06,Transport,Taxi,194.0,0.0
2023-10-07,Subscriptions,Not specified,20.0,0.0
2023-10-08,Health,Medical services,110.0,0.0
2023-10-08,Eating out,Food delivery,247.0,0.0
2023-10-08,Charity,Not specified,50.0,0.0
2023-10-09,House,Rent,4000.0,0.0
2023-10-10,Health,Insurance,188.0,0.0
2023-10-10,Salary,Salary,0.0,3263.0
2023-10-10,Groceries,Not specified,328.0,0.0
2023-10-12,Subscriptions,Not specified,59.54,0.0
2023-10-13,Other,Not specified,132.0,0.0
2023-10-13,Eating out,Food delivery,189.0,0.0
2023-10-15,Eating out,Food delivery,127.0,0.0
2023-10-17,Salary,Salary,0.0,2821.0
2023-10-17,Savings,Not specified,200.0,0.0
2023-10-17,Charity,Not specified,100.0,0.0
2023-10-18,Gifts,Not specified,399.0,0.0
2023-10-18,Groceries,Not specified,219.0,0.0
2023-10-19,Eating out,Food delivery,126.0,0.0
2023-10-19,Eating out,Food delivery,160.0,0.0
2023-10-20,Groceries,Not specified,9.0,0.0
2023-10-23,Eating out,Food delivery,121.0,0.0
2023-10-23,Subscriptions,Not specified,20.0,0.0
2023-10-24,Salary,Salary,0.0,4031.0
2023-10-24,Savings,Not specified,400.0,0.0
2023-10-24,Charity,Not specified,100.0,0.0
2023-10-25,Subscriptions,Not specified,4.0,0.0
2023-10-26,Beauty,Cosmetics,990.0,0.0
2023-10-27,Gifts,Not specified,408.0,0.0
2023-10-27,Eating out,Food delivery,221.0,0.0
2023-10-30,Eating out,Food delivery,183.0,0.0
2023-11-01,Subscriptions,Not specified,32.0,0.0
2023-11-01,Subscriptions,Not specified,40.14,0.0
2023-11-02,Salary,Salary,0.0,3709.0
2023-11-02,Savings,Not specified,400.0,0.0
2023-11-02,Charity,Not specified,100.0,0.0
2023-11-02,Leisure,Books,10.0,0.0
2023-11-03,Eating out,Food delivery,155.0,0.0
2023-11-05,Health,Medical services,115.0,0.0
2023-11-07,Subscriptions,Not specified,20.0,0.0
2023-11-07,Clothes,Adult,224.0,0.0
2023-11-07,Clothes,Accesories,85.0,0.0
2023-11-07,Gifts,Not specified,25.0,0.0
2023-11-08,Salary,Salary,0.0,3662.0
2023-11-08,Savings,Not specified,1100.0,0.0
2023-11-08,Charity,Not specified,100.0,0.0
2023-11-09,House,Rent,4000.0,0.0
